date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:37	65900/65900	---M-Z	200	added ('OK')	text/html	etag:%22a8e057e-1016c-56d20f25b3d00-gzip%22	http://limpidthemes.com/Themeforest/cruise-demo/light/index.html	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/index.html	(from )
16:11:37	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2010:41:36%20GMT	http://limpidthemes.com/robots.txt		(from )
16:11:38	55789/55789	---M--	200	added ('OK')	text/css	etag:%22a8e048a-d9ed-56d20f5192480%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/animate.min.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/animate.min.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:39	5682/5682	---M--	200	added ('OK')	text/css	etag:%22a8e048c-1632-56d20f4faa000%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/bootstrap-select.min.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/bootstrap-select.min.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:40	4614/4614	---M--	200	added ('OK')	text/css	etag:%22a8e049a-1206-56d20f4bd9700%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/owl.carousel.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/owl.carousel.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:41	1561/1561	---M--	200	added ('OK')	text/css	etag:%22a8e049b-619-56d20f4bd9700%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/owl-carousel-theme.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/owl-carousel-theme.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:44	117305/117305	---M--	200	added ('OK')	text/css	etag:%22a8e048b-1ca39-56d20f5192480%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/bootstrap.min.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/bootstrap.min.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:49	6838/6838	---M--	200	added ('OK')	text/css	etag:%22a8e0495-1ab6-56d20f4dc1b80%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/flexslider.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/flexslider.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:52	155632/155632	---M--	200	added ('OK')	text/css	etag:%22a8e049c-25ff0-56d20f4bd9700%22	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/style.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/style.css	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
16:11:53	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2010:41:49%20GMT	http://limpidthemes.com/Themeforest/cruise-demo/light/assets/css/dummy.css	D:/Website%20Template/tour2/limpidthemes.com/Themeforest/cruise-demo/light/assets/css/dummy.8.delayed	(from http://limpidthemes.com/Themeforest/cruise-demo/light/index.html)
